"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"festy_beg_001","Что такое ароматерапия?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","16","7","True","12,104","False","Ароматерапия — это метод лечения с помощью эфирных масел растений, которые обладают уникальными ароматическими свойствами. [1] Этот подход позволяет лечиться дома без необходимости посещать стационарное медицинское учреждение, что особенно полезно для людей, предпочитающих не отрываться от привычной социальной среды. [2] Ароматерапия может усиливать эффект от традиционных лекарственных средств и служить эффективным дополнением к ним. [1]",""
"festy_beg_002","Чем эфирные масла отличаются от растительных масел?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","30,31","10","True","10","True","Эфирные масла отличаются от растительных масел тем, что они улетучиваются при нормальной температуре и практически не оставляют пятен на тканях или бумаге. Кроме того, эфирные масла хорошо растворимы в жирах и растительных маслах, в то время как большинство растительных масел плохо растворимы в эфирных маслах. [1]",""
"festy_beg_003","Зачем растениям нужны эфирные масла?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","15","10,11","True","15","True","Растениям нужны эфирные масла для выживания, так как они помогают в защите от вредителей и болезней. [1] Эти вещества также играют роль в привлечении опылителей.",""
"festy_mid_001","Что такое бородавки?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","201","","True","202,203","False","Бородавки — это преимущественно доброкачественные новообразования кожи, зачастую вирусной этиологии. [1] Они имеют вид узелка или сосочка и могут появляться на пальцах, кистях рук, лице и волосистой части головы. Встречаются они не только у взрослых, но и у детей. Подошвенные бородавки встречаются только на ногах и часто сопровождаются болезненными ощущениями. [2]",""
"festy_mid_002","В какую область лица наносят эфирное масло мяты перечной при головной боли или мигрени?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","249","","True","319","False","Эфирное масло мяты перечной при головных болях или мигрени наносится на область висков. [1]",""
"festy_mid_003","Какова наиболее частая причина ячменя на веке?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","520","","True","520","True","Наиболее частой причиной ячменя на веке является бактериальная инфекция, чаще всего вызванная золотистым стафилококком. [1]",""
"festy_end_001","Какое эфирное масло является лучшим способом избавления от тошноты при беременности?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","477","","True","477","True","Лучшим способом избавления от тошноты при беременности является эфирное масло лимона. Однако можно использовать любое из перечисленных масел, таких как пупавка благородная, лаванда лекарственная, эстрагон, базилик или имбирь. [1]",""
"festy_end_002","Могут ли комары и другие кровососущие насекомые быть переносчиками заболеваний?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","410","490","True","291","False","Могут. Комары и другие кровососущие насекомые могут быть переносчиками заболеваний, так как они передают паразитов или вирусы при укусах. [1]",""
"festy_end_003","Какой pH смеси для лечения черных угрей указан в книге Фести?","","","","False","","False","В источниках нет ответа.",""
"hill_beg_001","Что такое эфирное масло с точки зрения современной науки?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","10,15","True","32","False","Эфирные масла, с точки зрения современной науки, представляют собой ароматические растительные экстракты, получаемые путем дистилляции или холодного прессования. Однако существуют и сверхкритические СО2-экстракты, которые не относятся к эфирным маслам по определению, так как они извлекаются методом экстрагирования углекислым газом в сверхкритическом состоянии. [1]",""
