question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_source_indexes_all;cited_source_indexes_gold_doc;cited_pages_all;cited_pages_gold_doc;page_hit;page_hit_legacy;answer_citations;model_answer;manual_error_type
festy_001;Что такое эфирное масло?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;15;True;1,2,3;2,3;9,11,27;9,27;False;False;1,2,3;Эфирное масло — это концентрированный природный ароматический компонент, получаемый из различных частей растений путем паровой дистилляции или других методов [1]. Эти масла содержат биологически активные вещества, которые могут оказывать различные терапевтические эффекты на организм [2]. Для наружного применения эфирное масло обычно разводят с растительным маслом для предотвращения раздражения кожи [3].;
festy_002;Какое эфирное масло считается первым в истории и кому приписывают его получение?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;12;True;1;1;12;12;True;True;1;Первым в истории эфирным маслом считается масло лимона [1]. Заслуга его получения принадлежит средневековому персидскому ученому, философу и врачу Авиценне [1].;
festy_003;Какими основными свойствами, по книге Фести, обладают эфирные масла?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;16;True;1,2;1;15,227;15;False;False;1,2;По книге Даниэля Фести, основными свойствами эфирных масел являются их способность восстанавливать нарушенную передачу информации в организме [1], а также быстрая связь с ядом при укусах змей [2].;
festy_004;Какие три основных метода получения эфирных масел описаны у Фести?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;18;True;1,2;2;11,55;55;False;False;1,2;По информации из источников [1] и [2], Даниэль Фести описывает три основных метода получения эфирных масел: паровая дистилляция, холодный отжим и экстракция растворителем. Эти методы используются для извлечения активных компонентов растений в процессе ароматерапии [1].;
festy_005;Какие эфирные масла названы самыми сильными по антибиотическим и антисептическим свойствам?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;22;True;1;1;77;77;False;False;1;Согласно источнику [1], эфирное масло душицы считается самым сильным по антибиотическим и антисептическим свойствам. В источниках нет информации о других эфирных маслах, которые также были бы названы самыми сильными по этим свойствам. [1];
festy_006;Можно ли считать эфирные масла лекарственным средством?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;25;True;1,2;1,2;9,25;9,25;True;True;1,2;Да, эфирные масла можно считать лекарственными средствами, так как они обладают сильными лечебными свойствами [1]. Однако их использование должно быть под контролем специалистов и с соблюдением точной дозировки [2].;
festy_007;Для каких групп людей применение эфирных масел требует особой осторожности или ограничений?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;26;True;1,2;2;17,27;27;False;False;1,2;Для людей с определенными медицинскими состояниями применение эфирных масел требует особой осторожности. Например, эфирные масла с высоким содержанием ментона и карвона (например, мята перечная и укроп) могут успокаивать ткани организма и поддерживают функцию пищеварения [1]. Также стоит быть осторожным при использовании эфирного масла базилика из-за его выраженного стимулирующего действия, а эфирного масла розмарина — из-за его влияния на выработку половых гормонов у мужчин [2].;
hill_001;Почему эфирные масла называются «эфирными»?;Дэвид К. Хилл. dōTERRA. Руководство по химии эфирных масел.pdf;11;True;1;1;11;11;True;True;1;Эфирные масла называются «эфирными», потому что они считаются «сущностью» растения [1]. В Средние века полагали, что эти масла необходимы для жизни растений. Современная наука определяет эфирные масла как экстракты, которые определяют аромат и вкус растения [1].;
hill_002;Зачем растения производят эфирные масла?;Дэвид К. Хилл. dōTERRA. Руководство по химии эфирных масел.pdf;11;False;;;;;False;False;;В источниках нет ответа.;
hill_003;Какими тремя основными способами получают эфирные масла из растений?;Дэвид К. Хилл. dōTERRA. Руководство по химии эфирных масел.pdf;11,12;False;;;;;False;False;;В источниках нет ответа.;
hill_004;Что такое летучие ароматические соединения и сколько разных соединений может быть в эфирном масле?;Дэвид К. Хилл. dōTERRA. Руководство по химии эфирных масел.pdf;13;False;1,2;;223,332;;False;False;1,2;Летучие ароматические соединения - это компоненты эфирных масел, которые испаряются при комнатной температуре и передают характерные запахи [1]. В одном эфирном масле может быть от нескольких десятков до сотен различных летучих ароматических соединений [2].;
hill_005;Что такое терпены и какие их основные виды упоминаются в руководстве?;Дэвид К. Хилл. dōTERRA. Руководство по химии эфирных масел.pdf;15,16;False;;;;;False;False;;В источниках нет ответа.;
