question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_pages_gold_doc;page_hit;model_answer;manual_error_type
festy_beg_001;Зачем растениям нужны эфирные масла?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;14;True;15;False;Эфирные масла необходимы растениям для защиты от вредителей и болезней. [1] Они также помогают привлекать полезных насекомых и распространять запахи, которые могут служить сигналами для других растений или животных.;
festy_beg_002;Что такое ароматерапия?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;15,16;False;;False;Ароматерапия — это метод лечения с помощью эфирных масел, который позволяет человеку лечиться дома без необходимости находиться в стационаре. Этот подход эффективен для лечения различных состояний и проблем здоровья, таких как усталость, стресс, боли и инфекции. [1] Ароматерапия может использоваться как дополнительное средство при лечении заболеваний вместе с традиционными лекарствами, что часто повышает общую эффективность лечения. [2];
festy_beg_003;Какими тремя основными приемами осуществляется получение эфирных масел?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;17;False;;False;Получение эфирных масел осуществляется тремя основными способами: паровая дистилляция, холодный отжим и экстракция растворителем. Эти методы используются для извлечения биологически активных веществ из растений. [1];
festy_mid_001;Что такое бородавки?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;201;True;202,203;False;Бородавки являются доброкачественными новообразованиями кожи, чаще всего вызванными вирусами папилломы человека. [1] Они могут иметь вид узелка или сосочка и встречаются на различных частях тела, особенно на руках и лице. Подошвенные бородавки, возникающие на ногах, часто сопровождаются болезненными ощущениями. [2];
festy_mid_002;Какое эфирное масло выступает базовым компонентом при лечении крапивницы?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;313;False;;False;В источниках нет конкретного упоминания о том, какое эфирное масло выступает базовым компонентом при лечении крапивницы. [1];
festy_mid_003;В какую область лица следует втирать смесь эфирных масел при головной боли или мигрени?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;249;True;60;False;Смесь эфирных масел при головной боли или мигрени следует втирать на область висков. [1] Используются масла лаванды, майора на, эвкалипта, розмарина и базилика. Эти масла помогают снять спазм сосудов и уменьшить боль. Также можно использовать компрессы с этими маслами для более длительного воздействия. [2];
festy_end_001;Какие шесть эфирных масел можно использовать при тошноте во время беременности?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;476;False;;False;В источниках нет ответа.;
festy_end_002;Чем отличается действие эфирных масел на черные угри от классических дезинфицирующих средств?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;511;True;163,165,511;True;Эфирные масла действуют более комплексно на черные угри по сравнению с классическими дезинфицирующими средствами. [1] Они не только обладают антисептическими и дезинфицирующими свойствами, но также регулируют гормональный фон и очищают кожу без сушения. [2] Классические дезинфицирующие средства обычно имеют более простое действие, направленное только на уничтожение бактерий, в то время как эфирные масла предлагают более глубокую терапию для угрей. [3];
festy_end_003;По какой причине чаще всего возникает ячмень на веке?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;519;True;520;False;Чаще всего ячмень на веке возникает из-за бактериальной инфекции, вызванной чаще всего золотистым стафилококком. [1];
hill_beg_001;Какое современное научное определение дается эфирным маслам?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;18;False;;False;Эфирные масла определяются как природные биорегуляторы, способствующие восстановлению нарушенной передачи информации и нормализации функции ферментных систем в организме. [1] Они также используются для лечения различных заболеваний, включая укусы змей и внутренние органы. [2];
hill_beg_002;Какие три основных способа получения эфирных масел выделяют в doTERRA?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;19;True;11;False;Три основных способа получения эфирных масел, используемые в doTERRA, это паровая дистилляция, холодный отжим и экстракция растворителем. [1];
hill_beg_003;С какой целью растения производят эфирные масла?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;18;False;;False;Растения производят эфирные масла для защиты от вредителей и болезней, а также для привлечения полезных насекомых. [1] Эти вещества помогают растениям выживать в природной среде.;
hill_mid_001;Из какого количества атомов углерода состоит структура монотерпенов?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;31;True;15;False;Монотерпены состоят из двух изопреновых единиц, каждая из которых содержит 5 атомов углерода. [1] Таким образом, монотерпен состоит из 10 атомов углерода. [2];
