question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_pages_gold_doc;page_hit;model_answer;manual_error_type;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_001;Что такое ароматерапия?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;16;True;44,104;False;Ароматерапия — это метод лечения, использующий эфирные масла для улучшения здоровья и благополучия. Этот подход позволяет людям лечиться дома без необходимости посещать стационар, что особенно важно для пациентов, предпочитающих не отрываться от привычной социальной среды. [1] Ароматерапия может усиливать эффект от традиционных лекарственных средств и в некоторых случаях заменять их, снижая количество принимаемых препаратов и их побочные эффекты. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_002;Чем эфирные масла отличаются от растительных масел?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;30,31;True;9,25;False;Эфирные масла и растительные масла различаются по способу получения. [1] Эфирные масла получают из различных частей растений путем экстракции, в то время как растительные масла добывают из семян или плодов через прессование. Кроме того, эфирные масла содержат более концентрированные вещества и обладают сильными лечебными свойствами, в отличие от растительных масел, которые обычно используются как питательное средство для кожи. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_003;Зачем растениям нужны эфирные масла?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;15;True;15;True;Зачем растениям нужны эфирные масла? Эфирные масла помогают растениям защищаться от вредителей, привлекать полезных насекомых и пыльцы, а также регулировать испарение воды из листьев. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_001;Что такое бородавки?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;201;True;202,203;False;Бородавки — это преимущественно доброкачественные новообразования кожи, часто вызванные вирусами папилломы человека. [1] Они имеют вид узелка или сосочка и могут встречаться на различных частях тела, особенно на руках, лице и волосистой части головы. Подошвенные бородавки встречаются только на ногах и часто вызывают болезненность. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_002;В какую область лица наносят эфирное масло мяты перечной при головной боли или мигрени?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;249;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_003;Какова наиболее частая причина ячменя на веке?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;520;True;520;True;Наиболее частой причиной ячменя на веке является бактериальная инфекция, вызванная чаще всего золотистым стафилококком. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_001;Какое эфирное масло является лучшим способом избавления от тошноты при беременности?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;477;True;477;True;Лучшим способом избавления от тошноты при беременности является эфирное масло лимона. Однако, если под рукой нет лимонового масла, можно использовать любое из перечисленных ниже: пупавки благородной, лаванды лекарственной, эстрагона, базилика или имбиря. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_002;Могут ли комары и другие кровососущие насекомые быть переносчиками заболеваний?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;410;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_003;Какой pH смеси для лечения черных угрей указан в книге Фести?;;;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_beg_001;Что такое эфирное масло с точки зрения современной науки?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;11;True;52,58;False;Эфирное масло является ценнейшим продуктом, получаемым из различных растений путем экстракции. [1] С точки зрения современной науки, оно обладает уникальными свойствами и может использоваться для лечения различных заболеваний благодаря своему химическому составу. Эфирные масла могут применяться как внутрь, так и наружно, в зависимости от конкретного случая. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
