question_id;question;gold_source_filename;gold_pages;gold_source_match_found;cited_pages_gold_doc;page_hit;model_answer;manual_error_type;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_001;Зачем растениям нужны эфирные масла?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;14;True;15;False;Зачем растениям нужны эфирные масла? Эфирные масла помогают растениям защищаться от вредителей, привлекать полезных насекомых и пыльцы, а также регулировать испарение воды из листьев. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_002;Что такое ароматерапия?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;15,16;True;44;False;Ароматерапия — это метод лечения, использующий эфирные масла для улучшения здоровья и благополучия. Этот подход позволяет людям лечиться дома без необходимости посещать стационар, что особенно важно для пациентов, предпочитающих не отрываться от привычной социальной среды. [1] Ароматерапия может усиливать эффект от традиционных лекарственных средств и в некоторых случаях заменять их, снижая количество принимаемых препаратов и их побочные эффекты. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_beg_003;Какими тремя основными приемами осуществляется получение эфирных масел?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;17;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_001;Что такое бородавки?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;201;True;202,203;False;Бородавки — это преимущественно доброкачественные новообразования кожи, часто вызванные вирусами папилломы человека. [1] Они имеют вид узелка или сосочка и могут встречаться на различных частях тела, особенно на руках, лице и волосистой части головы. Подошвенные бородавки встречаются только на ногах и часто вызывают болезненность. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_002;Какое эфирное масло выступает базовым компонентом при лечении крапивницы?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;313;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_mid_003;В какую область лица следует втирать смесь эфирных масел при головной боли или мигрени?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;249;False;;False;Для облегчения головной боли или мигрени рекомендуется втирать смесь эфирных масел лаванды, майора на, эвкалипта, розмарина или базилика в височную область лица. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_001;Какие шесть эфирных масел можно использовать при тошноте во время беременности?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;476;False;;False;В источниках нет ответа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_002;Чем отличается действие эфирных масел на черные угри от классических дезинфицирующих средств?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;511;True;66,163;False;Эфирные масла действуют более глубоко при лечении черных угрей, чем классические дезинфицирующие средства. [1] Они не только очищают кожу, но и регулируют гормональный фон, что делает их действие более щадящим и целостным по сравнению с дезинфицирующими средствами, которые обычно имеют более поверхностное воздействие. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
festy_end_003;По какой причине чаще всего возникает ячмень на веке?;Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf;519;True;520;False;Чаще всего ячмень на веке возникает из-за бактериальной инфекции, вызванной чаще всего золотистым стафилококком. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_beg_001;Какое современное научное определение дается эфирным маслам?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;18;False;;False;Современное научное определение эфирных масел, данное в источниках и, заключается в их использовании для восстановления нарушенной передачи информации и нормализации функции ферментных систем. Кроме того, эфирные масла используются для быстрого связывания яда при укусах змей. [1] В зависимости от качества основного компонента и соответствия стандартам (ОСТу, ГОСТу или ТУ), они применяются в различных сферах, включая медицину. [2];;;;;;;;;;;;;;;;;;;;;;;;;;;;
hill_beg_002;Какие три основных способа получения эфирных масел выделяют в doTERRA?;Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf;19;True;11;False;В doTERRA три основных способа получения эфирных масел включают паровую дистилляцию, холодный отжим и экстракцию растворителем. [1];;;;;;;;;;;;;;;;;;;;;;;;;;;;
