"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"festy_beg_001","Что такое ароматерапия?","","","","","","","Ароматерапия — это метод лечения, использующий эфирные масла для улучшения здоровья и благополучия. Этот подход позволяет людям лечиться дома без необходимости посещать стационар, что особенно важно для пациентов, предпочитающих не отрываться от привычной социальной среды. [1] Ароматерапия может усиливать эффект от традиционных лекарственных средств и в некоторых случаях заменять их, снижая количество принимаемых препаратов и их побочные эффекты. [2]",""
"festy_beg_002","Чем эфирные масла отличаются от растительных масел?","","","","","","","Эфирные масла и растительные масла различаются по способу получения. [1] Эфирные масла получают из различных частей растений путем экстракции, в то время как растительные масла добывают из семян или плодов через прессование. Кроме того, эфирные масла содержат более концентрированные вещества и обладают сильными лечебными свойствами, в отличие от растительных масел, которые обычно используются как питательное средство для кожи. [2]",""
"festy_beg_003","Зачем растениям нужны эфирные масла?","","","","","","","Зачем растениям нужны эфирные масла? Эфирные масла помогают растениям защищаться от вредителей, привлекать полезных насекомых и пыльцы, а также регулировать испарение воды из листьев. [1]",""
"festy_mid_001","Что такое бородавки?","","","","","","","Бородавки — это преимущественно доброкачественные новообразования кожи, часто вызванные вирусами папилломы человека. [1] Они имеют вид узелка или сосочка и могут встречаться на различных частях тела, особенно на руках, лице и волосистой части головы. Подошвенные бородавки встречаются только на ногах и часто вызывают болезненность. [2]",""
"festy_mid_002","В какую область лица наносят эфирное масло мяты перечной при головной боли или мигрени?","","","","","","","В источниках нет ответа.",""
"festy_mid_003","Какова наиболее частая причина ячменя на веке?","","","","","","","Наиболее частой причиной ячменя на веке является бактериальная инфекция, вызванная чаще всего золотистым стафилококком. [1]",""
"festy_end_001","Какое эфирное масло является лучшим способом избавления от тошноты при беременности?","","","","","","","Лучшим способом избавления от тошноты при беременности является эфирное масло лимона. Однако, если под рукой нет лимонового масла, можно использовать любое из перечисленных ниже: пупавки благородной, лаванды лекарственной, эстрагона, базилика или имбиря. [1]",""
"festy_end_002","Могут ли комары и другие кровососущие насекомые быть переносчиками заболеваний?","","","","","","","В источниках нет ответа.",""
"festy_end_003","Какой pH смеси для лечения черных угрей указан в книге Фести?","","","","","","","В источниках нет ответа.",""
"hill_beg_001","Что такое эфирное масло с точки зрения современной науки?","","","","","","","Эфирное масло является ценнейшим продуктом, получаемым из различных растений путем экстракции. [1] С точки зрения современной науки, оно обладает уникальными свойствами и может использоваться для лечения различных заболеваний благодаря своему химическому составу. Эфирные масла могут применяться как внутрь, так и наружно, в зависимости от конкретного случая. [2]",""
