"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"festy_beg_001","Что такое ароматерапия?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","16","7","True","104","False","Ароматерапия — это метод лечения с помощью эфирных масел, которые вдыхаются или наносятся на кожу. Этот подход позволяет лечиться дома без необходимости находиться в стационаре, что особенно полезно для пациентов, предпочитающих сохранять социальную активность. [1] Ароматерапия может усиливать эффект от традиционных лекарств и при использовании эфирных масел можно уменьшить потребление обычных препаратов. [2]",""
"festy_beg_002","Чем эфирные масла отличаются от растительных масел?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","30,31","10","False","","False","Эфирные масла и растительные масла имеют различные свойства. Эфирные масла производятся путем экстракции из различных частей растений, в то время как растительные масла получают путем прессования или выжимания. В результате эфирные масла содержат концентрированные ароматические вещества и обладают более мощными терапевтическими свойствами, в то время как растительные масла обычно используются для кулинарных или кожных целей. [1]",""
"festy_beg_003","Зачем растениям нужны эфирные масла?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","15","10,11","False","","False","В источниках нет ответа.",""
"festy_mid_001","Что такое бородавки?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","201","","False","","False","Бородавки — это доброкачественные новообразования кожи, чаще всего вирусной этиологии. [1] Они имеют вид узелка или сосочка и могут появляться на различных частях тела, особенно на пальцах рук, кистях, лице и волосистой части головы. Бородавки могут быть разных типов: обыкновенные бородавки обычно безболезненны и имеют шероховатую поверхность, подошвенные бородавки часто сопровождаются болезненными ощущениями. [2]",""
"festy_mid_002","В какую область лица наносят эфирное масло мяты перечной при головной боли или мигрени?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","249","","False","","False","Эфирное масло мяты перечной при головных болях или мигрени обычно наносят на виски.",""
"festy_mid_003","Какова наиболее частая причина ячменя на веке?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","520","","False","","False","Наиболее частая причина ячменя на веке — бактериальная инфекция, чаще всего вызванная золотистым стафилококком. [1]",""
"festy_end_001","Какое эфирное масло является лучшим способом избавления от тошноты при беременности?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","477","","False","","False","",""
"festy_end_002","Могут ли комары и другие кровососущие насекомые быть переносчиками заболеваний?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","410","490","False","","False","В источниках нет ответа.",""
"festy_end_003","Какой pH смеси для лечения черных угрей указан в книге Фести?","","","","False","","False","В источниках нет информации о конкретном pH смеси для лечения черных угрей. [1]",""
"hill_beg_001","Что такое эфирное масло с точки зрения современной науки?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","10,15","False","","False","Эфирное масло с точки зрения современной науки представляет собой концентрированный раствор активных веществ в масле растения. [1] Эти вещества проникают через кожу или дыхательные пути в кровь, оказывая терапевтическое воздействие. [2] Например, тимьян обыкновенный с линалоольным хемотипом обладает противоинфекционными свойствами и стимулирует регенерацию клеток печени. [3]",""
"hill_beg_002","Какие три основных способа получения эфирных масел перечислены в книгах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","12,13","11,12,18","False","","False","В источниках нет ответа.",""
"hill_beg_003","Почему эфирные масла называются «эфирными» по книге Хилла?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","","True","11","True","Эфирные масла называются ""эфирными"", потому что они считаются ""сущностью"" растения. В Средние века верили, что эфирные масла необходимы для жизни растений. [1]",""
"hill_mid_001","Сколько основных групп встречаются в эфирных маслах ?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","10","False","В источниках не указано точное количество основных групп в эфирных маслах, только упоминается их классификация по терпеным, фенольным и спиртовым компонентам.",""
"hill_mid_002","Какие 8 основных групп встречаются в эфирных маслах?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","18","","True","18","True","В эфирных маслах встречаются 8 основных групп функциональных групп: спирты, альдегиды, алкены, кетоны, сложные эфиры, эфиры, фенолы и фенилпропены. [1]",""
"hill_mid_003","Сколько атомов углерода содержится в структуре монотерпенов и сесквитерпенов?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","16","","True","15","False","Каждый изопреновый блок содержит 5 атомов углерода. Монотерпены состоят из двух изопреновых блоков, следовательно, они содержат 10 атомов углерода. Сесквитерпены состоят из трех изопреновых блоков и поэтому содержат 15 атомов углерода. [1]",""
"hill_end_001","Сколько процентов коричного альдегида содержит кассия?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","False","","False","В источниках нет ответа.",""
"hill_end_002","Какие системы организма, согласно книге Хилла, поддерживает коричный альдегид?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","56","","False","","False","В источниках нет ответа.",""
"hill_end_003","Какой pH метилсалицилата указан в книге Хилла?","","","","False","","False","В источниках нет ответа.",""
"nik_beg_001","Какой химический элемент назван главным элементом эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","13","","False","","False","В источниках нет ответа.",""
"nik_beg_002","Каким методом предлагают определять состав или натуральность эфирного масла?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","16","23","False","","False","В источниках нет ответа.",""
"nik_beg_003","Какая концентрация ароматов в воздухе помещения рекомендуется для взрослых?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","99","","False","","False","В источниках нет ответа.",""
"nik_mid_001","Можно ли использовать растительные ароматы для санации воздуха помещений и профилактики инфекции?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","161","167","True","137","False","Да, можно использовать растительные ароматы для санации воздуха помещений и профилактики инфекции. [1] По данным Н. Н. Николаевского, ароматические вещества способствуют уничтожению микробной обсемененности воздуха, устранению посторонних запахов и повышению общего самочувствия человека. [1]",""
"nik_mid_002","Можно ли использовать растительные ароматы как антистрессоры?","Н.Н.Николаевский. Ароматерапия справочник, 2000.pdf","206","109,110","False","","False","В источниках нет ответа.",""
